rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl,value_change
62,Harold Fannin Jr.,TE,CLE,17,6.10,11,3.4%,57%,177.4,192,197,248.3,28,5,3,22,1,2.1
63,Sam LaPorta,TE,DET,17,7.10,6,-2%,60%,176.1,190,196,252.4,28,5,3,25,3,2.1
77,Bhayshul Tuten,RB,JAC,17,5.11,7,0.9%,43%,156.9,180,182,304.6,25,6,6,23,1,4.4
51,Mike Evans,WR,SF,17,5.12,8,-3.2%,65%,182.9,192,218,296.1,32,5,5,32,12,-2.7
80,Carnell Tate,WR,TEN,17,6.05,9,5%,40%,168.5,191,201,280.8,24,6,6,21,0,5.3
81,Bo Nix,QB,DEN,17,10.06,10,-3.7%,28%,280.9,290,312,412,23,6,2,26,2,6.1
71,Dak Prescott,QB,DAL,17,7.12,14,0.5%,34%,282.7,301,325,412.7,26,6,2,33,10,3.0
84,Jonathon Brooks,RB,CAR,17,9.02,5,-6%,35%,140.5,112,176,302,23,7,7,23,2,5.7
73,TreVeyon Henderson,RB,NE,17,4.12,11,-1.9%,64%,161.9,186,190,304.7,26,6,6,23,1,2.6
79,D.K. Metcalf,WR,PIT,17,7.03,9,-2.6%,36%,174.2,188,207,263.4,24,6,6,28,7,4.5
82,Patrick Mahomes,QB,KC,17,9.09,5,-3.2%,37%,277.7,292,309,416.6,23,6,2,30,9,4.5
64,D.J. Moore,WR,BUF,17,5.05,7,0.7%,54%,175.9,178,209,282.7,27,5,5,29,8,0.4
103,Tyler Shough,QB,NO,17,12.04,8,0.5%,17%,270.7,269,297,407.5,19,8,3,26,1,8.2
112,Kyle Monangai,RB,CHI,17,8.07,10,-3.6%,0%,137.4,150,151,264.2,17,8,8,24,1,9.5
89,Jordyn Tyson,WR,NO,17,7.07,8,0.9%,45%,159.1,177,194,281.3,22,7,6,22,0,4.2
99,Jordan Addison,WR,MIN,17,9.10,6,4.9%,37%,164.4,165,196,266.2,20,7,6,24,3,6.2
95,Jayden Reed,WR,GB,17,10.03,11,1.3%,36%,166.3,166,198,265.3,21,7,6,26,3,5.0
96,Brian Thomas Jr.,WR,JAC,17,6.06,7,4%,35%,164.5,171,189,281.7,20,7,6,23,2,5.7
97,Jared Goff,QB,DET,17,10.08,6,-0.9%,23%,278.4,281,303,402.5,20,7,3,31,10,5.0
114,Jacory Croskey-Merritt,RB,WAS,17,10.04,7,4.2%,30%,122.9,119,156,261.3,17,8,8,25,1,8.0
102,RJ Harvey,RB,DEN,17,6.12,10,0.1%,36%,136.7,150,165,271.8,19,8,8,25,1,5.9
86,Marvin Harrison Jr.,WR,ARI,17,6.09,14,-0.8%,55%,172.6,182,196,276.6,22,7,6,24,2,2.3
88,Kyle Pitts,TE,ATL,17,7.06,11,4.8%,53%,170.8,178,186,241.3,22,7,3,25,5,2.1
75,Jaylen Warren,RB,PIT,17,6.07,9,-2.1%,66%,163.7,183,202,274.9,26,6,6,27,4,-2.2
129,Malik Willis,QB,MIA,17,13.05,6,-2%,15%,265.2,265,273,407.3,14,9,3,27,4,9.2
58,David Montgomery,RB,HOU,17,5.01,8,2%,85%,182.5,193,212,301.3,29,5,5,29,7,-6.0
83,Rico Dowdle,RB,PIT,17,7.11,9,-2.1%,27%,156.4,170,182,278.3,23,7,7,28,6,0.0
74,Rhamondre Stevenson,RB,NE,17,7.08,11,-1.9%,64%,167.2,177,199,282.6,26,6,6,28,5,-3.1
121,Blake Corum,RB,LAR,17,9.01,11,6.4%,33%,129.7,133,141,272,16,9,9,25,2,6.8
91,Michael Pittman Jr.,WR,PIT,17,8.08,9,-2.6%,60%,173.4,185,202,258.1,21,7,6,28,6,1.7
104,Jakobi Meyers,WR,JAC,17,9.07,7,4%,37%,166.7,170,194,261.6,19,8,6,29,7,3.7
137,Woody Marks,RB,HOU,17,11.12,8,2%,0%,114.1,104,127,243.5,12,10,10,25,1,10.5
118,Tyjae Spears,RB,TEN,17,12.12,9,2.9%,37%,129.7,129,154,251.6,16,8,8,25,3,6.3
98,J.K. Dobbins,RB,DEN,17,8.06,10,0.1%,39%,144.9,161,171,269.4,20,7,7,27,6,2.1
124,Xavier Worthy,WR,KC,17,11.04,5,-2.6%,35%,149.9,155,183,268.7,15,9,7,23,2,7.1
100,Josh Downs,WR,IND,17,9.08,13,-0.8%,61%,166.3,166,193,266.9,20,7,6,25,3,2.0
108,Baker Mayfield,QB,TB,17,11.07,10,-0.8%,37%,276.6,274,291,404.8,18,8,3,31,8,3.7
136,C.J. Stroud,QB,HOU,17,14.12,8,4.4%,29%,267.5,261,276,386,12,9,3,24,3,9.6
87,George Kittle,TE,SF,16,9.05,8,-3.6%,44%,132.7,179,187,265.4,22,7,3,32,9,-0.7
93,Courtland Sutton,WR,DEN,17,7.04,10,-2.5%,43%,171.1,180,199,264.5,21,7,6,30,8,0.3
106,Chuba Hubbard,RB,CAR,17,7.09,5,-6%,36%,136.8,162,152,288.8,19,8,8,27,5,2.1
107,Jordan Mason,RB,MIN,17,9.12,6,-0.1%,39%,131.6,135,162,268,19,8,8,27,4,2.1
131,Zach Charbonnet,RB,SEA,10,11.10,11,5.6%,37%,99.9,115,133,272.9,14,9,9,25,3,6.8
109,Quentin Johnston,WR,LAC,17,8.11,7,-2.6%,56%,156.5,154,189,271.5,18,8,7,24,3,2.6
135,Makai Lemon,WR,PHI,17,8.09,10,6.6%,33%,145.3,169,169,280.5,13,9,7,22,0,7.6
138,Jayden Higgins,WR,HOU,17,11.06,8,4.4%,23%,144.9,154,173,265.7,11,10,7,23,1,9.6
143,KC Concepcion,WR,CLE,17,11.02,11,4.3%,29%,142.3,146,176,254.8,11,10,7,21,0,9.6
130,Romeo Doubs,WR,NE,17,10.11,11,-2.5%,37%,150.8,163,180,263.9,14,9,7,26,4,6.2
132,Daniel Jones,QB,IND,17,15.08,13,1.6%,36%,258,256,277,402.3,14,9,3,29,7,5.9
110,Chris Godwin,WR,TB,17,8.04,10,2.6%,40%,151.1,174,186,276,18,8,7,30,9,1.7
116,Kenneth Gainwell,RB,TB,17,9.06,10,-2.2%,31%,134.4,153,151,261.2,17,8,8,27,5,2.3
142,Dylan Sampson,RB,CLE,17,14.08,11,0.6%,34%,110.6,91,127,228.9,11,10,10,21,1,8.2
90,Tony Pollard,RB,TEN,17,7.05,9,2.9%,35%,155,175,178,270.8,22,7,7,29,7,-2.9
150,Chris Rodriguez,RB,JAC,17,12.05,7,0.9%,27%,98.4,107,107,254.5,9,10,10,26,3,9.8
141,Matthew Golden,WR,GB,17,10.12,11,1.3%,37%,146.1,152,164,275.9,11,10,7,23,1,7.6
122,Rachaad White,RB,WAS,17,9.03,7,4.2%,39%,120.8,146,149,259.4,16,9,9,27,4,2.4
200,Jonah Coleman,RB,DEN,17,13.12,10,0.1%,0%,70.4,50,78,242.4,3,12,12,22,0,14.9
134,Michael Wilson,WR,ARI,17,8.02,14,-0.8%,42%,149.2,171,178,261.1,13,9,7,26,3,4.7
