rank,name,position,team,games,adp,bye,sos,injury_risk,floor_proj,consensus_proj,ds_proj,ceiling_proj,three_d_value,tier_overall,tier_positional,age,years_in_nfl
62,D.J. Moore,WR,BUF,17,5.03,7,0.7%,54%,175.9,178,209,282.7,28,5,5,29,8
63,Harold Fannin Jr.,TE,CLE,17,6.12,11,3.4%,57%,173.6,192,197,250.5,28,5,3,22,1
64,Sam LaPorta,TE,DET,17,7.08,6,-2%,60%,172.2,190,196,254.4,28,5,3,25,3
65,Quinshon Judkins,RB,CLE,17,4.10,11,0.6%,48%,181.8,202,202,292.9,27,5,5,22,1
66,Trevor Lawrence,QB,JAC,17,8.04,7,4.5%,34%,279.9,300,329,414.9,27,5,2,26,5
67,Parker Washington,WR,JAC,17,6.06,7,4%,0%,175.5,178,211,274.9,27,6,6,24,3
68,Justin Herbert,QB,LAC,17,8.02,7,-2.8%,36%,280.7,301,326,417.8,27,6,2,28,6
69,Brock Purdy,QB,SF,17,10.06,8,-4%,36%,278.1,300,327,415.5,27,6,2,26,4
70,Caleb Williams,QB,CHI,17,7.01,10,-3.5%,20%,278.6,294,324,421.2,27,6,2,24,2
71,Kyler Murray,QB,MIN,17,11.08,6,4%,33%,273,281,325,419.3,26,6,2,29,7
72,Dak Prescott,QB,DAL,17,7.12,14,0.5%,34%,282.7,301,325,412.7,26,6,2,33,10
73,TreVeyon Henderson,RB,NE,17,5.05,11,-1.9%,64%,161.9,186,190,304.7,26,6,6,23,1
74,Rhamondre Stevenson,RB,NE,17,7.07,11,-1.9%,64%,167.2,177,199,282.6,26,6,6,28,5
